# Thorlabs protected aluminum coating (-G01), 12 deg AOI, unpolarized
# Source: thorlabs_protected_aluminum_coating.xlsx
wavelength_nm,reflectance
14803,0.94279
14813,0.94277
14823,0.94275
14833,0.94273
14843,0.94271
14853,0.94268
14863,0.94266
14873,0.94264
14883,0.94262
14893,0.94261
14903,0.94259
14913,0.94257
14923,0.94255
14933,0.94253
14943,0.94251
14953,0.94250
14963,0.94248
14973,0.94247
14983,0.94245
14993,0.94243
15003,0.94242
15013,0.94240
15023,0.94239
15033,0.94238
15043,0.94236
15053,0.94235
15063,0.94234
15072,0.94233
15083,0.94231
15093,0.94230
15103,0.94229
15113,0.94228
15123,0.94227
15133,0.94226
15143,0.94225
15153,0.94224
15163,0.94223
15172,0.94223
15183,0.94222
15193,0.94221
15202,0.94221
15213,0.94220
15223,0.94219
15233,0.94219
15242,0.94218
15253,0.94218
15263,0.94218
15273,0.94217
15282,0.94217
15293,0.94217
15303,0.94216
15313,0.94216
15322,0.94216
15332,0.94216
15343,0.94216
15353,0.94216
15363,0.94216
15373,0.94216
15382,0.94216
15392,0.94217
15402,0.94217
15412,0.94217
15423,0.94217
15433,0.94218
15443,0.94218
15453,0.94219
15463,0.94219
15473,0.94220
15483,0.94220
15493,0.94221
15503,0.94222
15513,0.94223
15523,0.94223
15533,0.94224
15543,0.94225
15553,0.94226
15563,0.94227
15572,0.94228
15582,0.94229
15592,0.94231
15602,0.94232
15612,0.94233
15622,0.94234
15633,0.94236
15643,0.94237
15652,0.94239
15662,0.94240
15672,0.94242
15682,0.94243
15693,0.94245
15702,0.94247
15712,0.94248
15722,0.94250
15733,0.94252
15742,0.94254
15752,0.94256
15762,0.94258
15772,0.94260
15782,0.94262
15792,0.94264
15802,0.94266
15812,0.94269
15822,0.94271
15832,0.94273
15842,0.94276
15853,0.94278
15862,0.94281
15872,0.94283
15882,0.94286
15892,0.94289
15902,0.94291
15912,0.94294
15922,0.94297
15932,0.94300
15942,0.94303
15952,0.94306
15962,0.94309
15972,0.94312
15982,0.94315
15992,0.94318
16002,0.94322
16012,0.94325
16022,0.94328
16032,0.94332
16042,0.94335
16052,0.94339
16062,0.94342
16072,0.94346
16082,0.94349
16092,0.94353
16102,0.94357
16112,0.94361
16122,0.94365
16132,0.94369
16142,0.94373
16152,0.94376
16162,0.94381
16172,0.94385
16182,0.94389
16192,0.94393
16202,0.94397
16212,0.94402
16222,0.94406
16232,0.94411
16242,0.94415
16252,0.94420
16262,0.94424
16272,0.94429
16282,0.94434
16292,0.94439
16302,0.94443
16312,0.94448
16322,0.94453
16332,0.94458
16342,0.94463
16352,0.94468
16362,0.94474
16372,0.94479
16382,0.94484
16392,0.94489
16402,0.94494
16412,0.94500
16422,0.94505
16432,0.94511
16442,0.94516
16452,0.94522
16462,0.94528
16472,0.94533
16482,0.94539
16492,0.94545
16502,0.94551
16512,0.94557
16522,0.94562
16532,0.94569
16542,0.94575
16552,0.94581
16562,0.94587
16572,0.94593
16582,0.94599
16592,0.94606
16602,0.94612
16612,0.94618
16622,0.94625
16632,0.94631
16642,0.94638
16652,0.94644
16662,0.94651
16671,0.94657
16682,0.94665
16693,0.94672
16701,0.94678
16712,0.94685
16723,0.94693
16731,0.94698
16742,0.94706
16753,0.94714
16761,0.94720
16772,0.94728
16783,0.94735
16791,0.94741
16802,0.94749
16813,0.94757
16821,0.94763
16832,0.94772
16843,0.94780
16851,0.94786
16862,0.94794
16873,0.94803
16881,0.94809
16892,0.94817
16900,0.94824
16911,0.94832
16922,0.94841
16930,0.94847
16941,0.94856
16952,0.94864
16960,0.94871
16971,0.94880
16982,0.94889
16990,0.94895
17001,0.94904
17012,0.94913
17020,0.94920
17031,0.94929
17042,0.94938
17050,0.94945
17061,0.94954
17072,0.94963
17080,0.94970
17091,0.94980
17102,0.94989
17110,0.94996
17121,0.95006
17132,0.95015
17140,0.95022
17151,0.95032
17162,0.95041
17170,0.95049
17181,0.95058
17192,0.95068
17200,0.95075
17211,0.95085
17222,0.95095
17230,0.95102
17241,0.95112
17252,0.95122
17260,0.95130
17271,0.95140
17282,0.95150
17290,0.95157
17301,0.95167
17312,0.95177
17320,0.95185
17331,0.95195
17342,0.95206
17350,0.95213
17361,0.95224
17372,0.95234
17380,0.95242
17391,0.95252
17402,0.95263
17410,0.95270
17421,0.95281
17432,0.95291
17440,0.95299
17451,0.95310
17462,0.95320
17470,0.95328
17481,0.95339
17492,0.95350
